FIPS_State_Code,FIPS_County_Code,Census_Region_Code,Census_Division_Code,County_Name,Estimated_1_Unit_Buildings,Estimated_1_Unit_Total_Units,Estimated_1_Unit_Total_Value,Estimated_2_Unit_Buildings,Estimated_2_Unit_Total_Units,Estimated_2_Unit_Total_Value,Estimated_3to4_Unit_Buildings,Estimated_3to4_Unit_Total_Units,Estimated_3to4_Unit_Total_Value,Estimated_5plus_Unit_Buildings,Estimated_5plus_Unit_Total_Units,Estimated_5plus_Unit_Total_Value,Reported_1_Unit_Buildings,Reported_1_Unit_Total_Units,Reported_1_Unit_Total_Value,Reported_2_Unit_Buildings,Reported_2_Unit_Total_Units,Reported_2_Unit_Total_Value,Reported_3to4_Unit_Buildings,Reported_3to4_Unit_Total_Units,Reported_3to4_Unit_Total_Value,Reported_5plus_Unit_Buildings,Reported_5plus_Unit_Total_Units,Reported_5plus_Unit_Total_Value
1,1,3,6,Autauga County                ,163,163,9318251,0,0,0,0,0,0,4,21,700368,59,59,3255203,0,0,0,0,0,0,0,0,0
1,81,3,6,Lee County                    ,274,274,36732218,65,130,6643736,5,15,1253952,5,64,3031509,274,274,36732218,65,130,6643736,5,15,1253952,5,64,3031509
1,113,3,6,Russell County                ,73,73,5751744,1,2,90000,0,0,0,11,232,12918392,73,73,5751744,1,2,90000,0,0,0,11,232,12918392
1,125,3,6,Tuscaloosa County             ,465,465,48957344,3,6,432000,0,0,0,4,45,2192890,465,465,48957344,3,6,432000,0,0,0,4,45,2192890
2,13,4,9,Aleutians East Borough        ,1,1,85000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,16,4,9,Aleutians West Census Area    ,17,17,2256002,0,0,0,0,0,0,4,32,4584720,17,17,2256002,0,0,0,0,0,0,4,32,4584720
2,20,4,9,Anchorage Borough             ,661,661,131023656,69,138,18900623,6,22,3364594,14,133,11146524,661,661,131023656,69,138,18900623,6,22,3364594,14,133,11146524
2,50,4,9,Bethel Census Area            ,44,44,5571430,0,0,0,0,0,0,0,0,0,44,44,5571430,0,0,0,0,0,0,0,0,0
2,60,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,90,4,9,Fairbanks North Star Borough  ,138,138,14272977,1,2,107200,1,3,125160,0,0,0,106,106,11203322,0,0,0,0,0,0,0,0,0
2,100,4,9,Haines Borough                ,7,7,634000,0,0,0,0,0,0,0,0,0,7,7,634000,0,0,0,0,0,0,0,0,0
2,110,4,9,Juneau Borough                ,68,68,14441309,4,8,1257253,1,4,364312,0,0,0,44,44,10289336,1,2,420706,1,4,364312,0,0,0
2,122,4,9,Kenai Peninsula Borough       ,79,79,10300882,1,2,244000,2,7,392000,0,0,0,77,77,10086282,1,2,244000,2,7,392000,0,0,0
2,130,4,9,Ketchikan Gateway Borough     ,31,31,4188595,4,8,768942,0,0,0,0,0,0,25,25,3468339,3,6,586667,0,0,0,0,0,0
2,150,4,9,Kodiak Island Borough         ,32,32,4501303,3,6,548193,0,0,0,0,0,0,28,28,3977507,3,6,548193,0,0,0,0,0,0
2,170,4,9,Matanuska-Susitna Borough     ,49,49,6630809,2,4,391111,1,3,184154,4,48,3476837,49,49,6630809,2,4,391111,1,3,184154,4,48,3476837
2,180,4,9,Nome Census Area              ,3,3,611978,0,0,0,0,0,0,0,0,0,3,3,611978,0,0,0,0,0,0,0,0,0
2,185,4,9,North Slope Borough           ,43,43,4636820,8,16,1300398,0,0,0,0,0,0,1,1,138734,0,0,0,0,0,0,0,0,0
2,201,4,9,Prince of Wales-Outer Ketchika,1,1,129086,0,0,0,0,0,0,0,0,0,1,1,129086,0,0,0,0,0,0,0,0,0
2,232,4,9,Skagway-Hoonah-Angoon Census A,15,15,1230874,0,0,0,0,0,0,1,10,295000,15,15,1230874,0,0,0,0,0,0,1,10,295000
2,261,4,9,Valdez-Cordova Census Area    ,33,33,4681463,0,0,0,0,0,0,0,0,0,33,33,4681463,0,0,0,0,0,0,0,0,0
2,280,4,9,Wrangell-Petersburg Census Are,8,8,678660,0,0,0,0,0,0,0,0,0,8,8,678660,0,0,0,0,0,0,0,0,0
2,282,4,9,Yakutat Borough               ,3,3,176250,0,0,0,0,0,0,0,0,0,2,2,30000,0,0,0,0,0,0,0,0,0
4,13,4,8,Maricopa County               ,25594,25594,3420726430,51,102,13266886,131,499,49755155,656,8083,436417305,24176,24176,3268523444,51,102,13266886,131,499,49755155,649,8028,433447941
4,15,4,8,Mohave County                 ,1453,1453,130661260,14,28,1566984,3,11,702125,0,0,0,1442,1442,129292931,14,28,1566984,3,11,702125,0,0,0
4,21,4,8,Pinal County                  ,1682,1682,179262030,7,14,764601,5,19,816946,2,18,1060476,1663,1663,177548565,7,14,764601,2,7,246927,0,0,0
5,23,3,7,Cleburne County               ,26,26,2346000,2,4,136000,0,0,0,0,0,0,26,26,2346000,2,4,136000,0,0,0,0,0,0
5,35,3,7,Crittenden County             ,133,133,14992627,0,0,0,35,140,5038000,6,48,1776000,122,122,13702331,0,0,0,35,140,5038000,6,48,1776000
5,43,3,7,Drew County                   ,22,22,2031459,0,0,0,2,6,220000,0,0,0,22,22,2031459,0,0,0,2,6,220000,0,0,0
5,55,3,7,Greene County                 ,162,162,10925900,2,4,135000,0,0,0,0,0,0,162,162,10925900,2,4,135000,0,0,0,0,0,0
5,61,3,7,Howard County                 ,15,15,920499,0,0,0,0,0,0,0,0,0,10,10,626000,0,0,0,0,0,0,0,0,0
5,71,3,7,Johnson County                ,20,20,1646120,0,0,0,0,0,0,0,0,0,20,20,1646120,0,0,0,0,0,0,0,0,0
6,1,4,9,Alameda County                ,2528,2528,648565494,5,10,947417,30,98,7973202,62,692,70815113,2379,2379,615445772,5,10,947417,30,98,7973202,62,692,70815113
6,13,4,9,Contra Costa County           ,2675,2675,546381376,3,6,708053,1,4,141303,33,672,54909694,2172,2172,457952186,3,6,708053,1,4,141303,30,600,51046856
6,17,4,9,El Dorado County              ,1006,1006,227430576,3,6,652917,0,0,0,1,81,5859652,1002,1002,226794942,3,6,652917,0,0,0,1,81,5859652
6,19,4,9,Fresno County                 ,2203,2203,307208812,4,8,497088,23,71,4539017,18,120,7018903,2181,2181,304950521,0,0,0,22,68,4353867,18,120,7018903
6,27,4,9,Inyo County                   ,17,17,3419904,0,0,0,0,0,0,0,0,0,16,16,3209342,0,0,0,0,0,0,0,0,0
6,37,4,9,Los Angeles County            ,6367,6367,1373780666,118,236,21102006,85,294,26787608,210,6115,379293389,6152,6152,1328173381,112,224,20392743,84,291,26787608,196,6035,371182008
6,39,4,9,Madera County                 ,392,392,37914772,1,2,118097,0,0,0,4,57,3638778,392,392,37914772,1,2,118097,0,0,0,4,57,3638778
6,41,4,9,Marin County                  ,348,348,111319246,0,0,0,4,16,3526526,1,113,7267406,261,261,89108735,0,0,0,4,16,3526526,1,113,7267406
6,43,4,9,Mariposa County               ,73,73,9438074,0,0,0,0,0,0,0,0,0,58,58,7265982,0,0,0,0,0,0,0,0,0
6,55,4,9,Napa County                   ,339,339,115404723,0,0,0,1,4,218095,0,0,0,323,323,111710521,0,0,0,1,4,218095,0,0,0
6,57,4,9,Nevada County                 ,593,593,97033958,6,12,776154,2,8,1240782,6,72,6247600,552,552,90788598,6,12,776154,2,8,1240782,6,72,6247600
6,59,4,9,Orange County                 ,5267,5267,1167128379,68,136,16902287,101,327,33778821,196,4504,338966055,5166,5166,1136069486,62,124,15088059,98,318,32859937,188,4344,325319021
6,61,4,9,Placer County                 ,3474,3474,691641710,8,16,1343241,0,0,0,68,1084,74929837,3379,3379,673371580,8,16,1343241,0,0,0,66,1037,71961667
6,65,4,9,Riverside County              ,9904,9904,1827841085,14,28,2567370,8,27,1757647,92,1445,92695214,9609,9609,1779120417,10,20,1803982,5,18,804187,91,1437,92131218
6,67,4,9,Sacramento County             ,4609,4609,733688724,1,2,180843,6,24,1732102,65,1028,64280102,4609,4609,733688724,1,2,180843,6,24,1732102,65,1028,64280102
6,71,4,9,San Bernardino County         ,4362,4362,759764851,0,0,0,13,45,3604232,43,645,40261060,4282,4282,743347498,0,0,0,13,45,3604232,43,645,40261060
6,73,4,9,San Diego County              ,7274,7274,1658500835,44,88,10919364,120,390,40825000,235,4440,413510283,6986,6986,1593969401,43,86,10548038,120,390,40825000,230,4396,410124652
6,75,4,9,San Francisco County          ,69,69,20405278,47,94,17713300,18,56,11290570,85,1742,244225731,69,69,20405278,47,94,17713300,18,56,11290570,85,1742,244225731
6,77,4,9,San Joaquin County            ,3806,3806,559181224,3,6,363702,0,0,0,0,0,0,3708,3708,542789621,0,0,0,0,0,0,0,0,0
6,79,4,9,San Luis Obispo County        ,1194,1194,199440476,4,8,632497,7,23,1962130,13,73,3981840,1115,1115,185237468,4,8,632497,7,23,1962130,10,58,3316566
6,81,4,9,San Mateo County              ,927,927,185787565,4,8,1045877,11,33,2633538,12,312,34698913,785,785,149165336,3,6,781877,11,33,2633538,12,312,34698913
