FIPS_State_Code,FIPS_County_Code,Census_Region_Code,Census_Division_Code,County_Name,Estimated_1_Unit_Buildings,Estimated_1_Unit_Total_Units,Estimated_1_Unit_Total_Value,Estimated_2_Unit_Buildings,Estimated_2_Unit_Total_Units,Estimated_2_Unit_Total_Value,Estimated_3to4_Unit_Buildings,Estimated_3to4_Unit_Total_Units,Estimated_3to4_Unit_Total_Value,Estimated_5plus_Unit_Buildings,Estimated_5plus_Unit_Total_Units,Estimated_5plus_Unit_Total_Value,Reported_1_Unit_Buildings,Reported_1_Unit_Total_Units,Reported_1_Unit_Total_Value,Reported_2_Unit_Buildings,Reported_2_Unit_Total_Units,Reported_2_Unit_Total_Value,Reported_3to4_Unit_Buildings,Reported_3to4_Unit_Total_Units,Reported_3to4_Unit_Total_Value,Reported_5plus_Unit_Buildings,Reported_5plus_Unit_Total_Units,Reported_5plus_Unit_Total_Value
1,1,3,6,Autauga County                ,22,22,6874180,0,0,0,0,0,0,0,0,0,22,22,6874180,0,0,0,0,0,0,0,0,0
1,7,3,6,Bibb County                   ,2,2,475000,0,0,0,0,0,0,0,0,0,2,2,475000,0,0,0,0,0,0,0,0,0
1,9,3,6,Blount County                 ,1,1,124000,0,0,0,0,0,0,0,0,0,1,1,124000,0,0,0,0,0,0,0,0,0
1,21,3,6,Chilton County                ,3,3,275000,0,0,0,0,0,0,0,0,0,3,3,275000,0,0,0,0,0,0,0,0,0
1,73,3,6,Jefferson County              ,110,110,35005328,1,2,247329,0,0,0,1,7,705878,65,65,18484934,0,0,0,0,0,0,0,0,0
1,81,3,6,Lee County                    ,146,146,37342981,1,2,429270,0,0,0,10,281,35611875,122,122,31712412,0,0,0,0,0,0,10,281,35611875
1,83,3,6,Limestone County              ,30,30,6993870,0,0,0,0,0,0,0,0,0,30,30,6993870,0,0,0,0,0,0,0,0,0
1,89,3,6,Madison County                ,260,260,41669458,0,0,0,0,0,0,0,0,0,260,260,41669458,0,0,0,0,0,0,0,0,0
1,113,3,6,Russell County                ,12,12,1776734,0,0,0,0,0,0,0,0,0,4,4,631409,0,0,0,0,0,0,0,0,0
1,115,3,6,St. Clair County              ,17,17,2820847,0,0,0,0,0,0,0,0,0,16,16,2535847,0,0,0,0,0,0,0,0,0
1,117,3,6,Shelby County                 ,99,99,25515018,0,0,0,0,0,0,0,0,0,42,42,9144224,0,0,0,0,0,0,0,0,0
1,127,3,6,Walker County                 ,1,1,400000,0,0,0,0,0,0,0,0,0,1,1,400000,0,0,0,0,0,0,0,0,0
2,13,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,16,4,9,Aleutians West Census Area    ,1,1,98118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,20,4,9,Anchorage Municipality        ,51,51,15976349,0,0,0,1,3,521133,1,12,1897147,0,0,0,0,0,0,0,0,0,0,0,0
2,50,4,9,Bethel Census Area            ,5,5,1484169,2,4,691450,0,0,0,0,0,0,5,5,1484169,2,4,691450,0,0,0,0,0,0
2,60,4,9,Bristol Bay Borough           ,1,1,115625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,70,4,9,Dillingham Census Area        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,90,4,9,Fairbanks North Star Borough  ,1,1,274000,0,0,0,0,0,0,0,0,0,1,1,274000,0,0,0,0,0,0,0,0,0
2,100,4,9,Haines Borough                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,105,4,9,Hoonah-Angoon Census Area     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,110,4,9,Juneau City and Borough       ,2,2,297223,0,0,0,0,0,0,0,0,0,2,2,297223,0,0,0,0,0,0,0,0,0
2,122,4,9,Kenai Peninsula Borough       ,5,5,1263344,0,0,0,0,0,0,0,0,0,3,3,821000,0,0,0,0,0,0,0,0,0
2,130,4,9,Ketchikan Gateway Borough     ,3,3,890501,1,2,345725,0,0,0,0,0,0,3,3,890501,1,2,345725,0,0,0,0,0,0
2,150,4,9,Kodiak Island Borough         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,170,4,9,Matanuska-Susitna Borough     ,1,1,296834,0,0,0,0,0,0,0,0,0,1,1,296834,0,0,0,0,0,0,0,0,0
2,180,4,9,Nome Census Area              ,1,1,181950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,185,4,9,North Slope Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,188,4,9,Northwest Arctic Borough      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,195,4,9,Petersburg Borough            ,0,0,0,1,2,400000,0,0,0,0,0,0,0,0,0,1,2,400000,0,0,0,0,0,0
2,198,4,9,Prince of Wales-Hyder Census A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,220,4,9,Sitka City and Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,230,4,9,Skagway Municipality          ,0,0,0,1,2,219444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,261,4,9,Valdez-Cordova Census Area    ,1,1,260000,0,0,0,0,0,0,0,0,0,1,1,260000,0,0,0,0,0,0,0,0,0
2,275,4,9,Wrangell City and Borough     ,1,1,150000,0,0,0,0,0,0,0,0,0,1,1,150000,0,0,0,0,0,0,0,0,0
2,282,4,9,Yakutat City and Borough      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,290,4,9,Yukon-Koyukuk Census Area     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,13,4,8,Maricopa County               ,1505,1505,454363151,2,4,604221,0,0,0,17,585,101146415,1498,1498,452902872,1,2,344541,0,0,0,16,495,85484360
4,19,4,8,Pima County                   ,229,229,72876683,1,2,237051,0,0,0,3,54,8113263,169,169,57486282,0,0,0,0,0,0,0,0,0
4,21,4,8,Pinal County                  ,327,327,64412067,0,0,0,0,0,0,0,0,0,319,319,62876789,0,0,0,0,0,0,0,0,0
5,13,3,7,Calhoun County                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,35,3,7,Crittenden County             ,3,3,689953,0,0,0,0,0,0,0,0,0,2,2,456900,0,0,0,0,0,0,0,0,0
5,43,3,7,Drew County                   ,1,1,62167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,45,3,7,Faulkner County               ,25,25,5263802,1,2,151668,0,0,0,1,7,191506,5,5,900236,0,0,0,0,0,0,0,0,0
5,53,3,7,Grant County                  ,2,2,335862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,85,3,7,Lonoke County                 ,35,35,3950878,0,0,0,0,0,0,0,0,0,23,23,2917905,0,0,0,0,0,0,0,0,0
5,87,3,7,Madison County                ,1,1,150000,0,0,0,0,0,0,0,0,0,1,1,150000,0,0,0,0,0,0,0,0,0
5,91,3,7,Miller County                 ,3,3,628181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,105,3,7,Perry County                  ,1,1,18500,0,0,0,0,0,0,0,0,0,1,1,18500,0,0,0,0,0,0,0,0,0
5,119,3,7,Pulaski County                ,64,64,20271200,0,0,0,5,15,1124500,7,84,11050000,64,64,20271200,0,0,0,5,15,1124500,7,84,11050000
5,129,3,7,Searcy County                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,143,3,7,Washington County             ,133,133,33387582,8,16,2197108,0,0,0,0,0,0,131,131,32694478,8,16,2197108,0,0,0,0,0,0
6,1,4,9,Alameda County                ,86,86,25226094,0,0,0,0,0,0,8,624,196776036,57,57,16035647,0,0,0,0,0,0,4,593,189722230
6,13,4,9,Contra Costa County           ,31,31,10240799,0,0,0,0,0,0,2,17,3803750,20,20,6297329,0,0,0,0,0,0,0,0,0
6,17,4,9,El Dorado County              ,49,49,16577338,0,0,0,0,0,0,0,0,0,49,49,16577338,0,0,0,0,0,0,0,0,0
6,19,4,9,Fresno County                 ,117,117,33655620,4,8,984000,3,12,1641000,0,0,0,100,100,27623620,4,8,984000,3,12,1641000,0,0,0
6,37,4,9,Los Angeles County            ,291,291,90770978,34,68,14146124,6,21,4801028,22,981,154641331,232,232,66131678,30,60,12288569,3,11,2519235,16,940,147305185
6,41,4,9,Marin County                  ,3,3,1266869,0,0,0,0,0,0,0,0,0,1,1,95000,0,0,0,0,0,0,0,0,0
6,59,4,9,Orange County                 ,116,116,38861579,3,6,1938929,5,17,3879524,5,351,55912876,74,74,19666277,1,2,605572,4,14,3217956,2,273,43201171
6,61,4,9,Placer County                 ,151,151,41180132,0,0,0,0,0,0,0,0,0,150,150,40988130,0,0,0,0,0,0,0,0,0
6,63,4,9,Plumas County                 ,4,4,712128,0,0,0,0,0,0,0,0,0,4,4,712128,0,0,0,0,0,0,0,0,0
6,67,4,9,Sacramento County             ,119,119,32525225,1,2,375431,0,0,0,1,9,983008,118,118,32293306,1,2,375431,0,0,0,1,9,983008
6,69,4,9,San Benito County             ,45,45,15656636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,71,4,9,San Bernardino County         ,169,169,45799810,29,58,6805888,1,4,587798,10,87,12967952,135,135,37242539,29,58,6805888,0,0,0,8,60,10068534
6,73,4,9,San Diego County              ,154,154,40815856,2,4,1112460,20,65,15477791,8,460,64904770,153,153,40751960,2,4,1112460,20,65,15477791,7,449,63931004
