"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2009","AQS","510030001","1","4.9","ug/m3 LC","20","Albemarle High School","1","100.0000","88101","PM2.5 - Local Conditions","16820","Charlottesville, VA","51","Virginia","003","Albemarle","38.0765700009162","-78.50397"
"01/04/2009","AQS","510030001","1","14.3","ug/m3 LC","56","Albemarle High School","1","100.0000","88101","PM2.5 - Local Conditions","16820","Charlottesville, VA","51","Virginia","003","Albemarle","38.0765700009162","-78.50397"
"01/07/2009","AQS","510030001","1","2.3","ug/m3 LC","10","Albemarle High School","1","100.0000","88101","PM2.5 - Local Conditions","16820","Charlottesville, VA","51","Virginia","003","Albemarle","38.0765700009162","-78.50397"
"01/10/2009","AQS","510030001","1","15","ug/m3 LC","57","Albemarle High School","1","100.0000","88101","PM2.5 - Local Conditions","16820","Charlottesville, VA","51","Virginia","003","Albemarle","38.0765700009162","-78.50397"
"01/13/2009","AQS","510030001","1","14.3","ug/m3 LC","56","Albemarle High School","1","100.0000","88101","PM2.5 - Local Conditions","16820","Charlottesville, VA","51","Virginia","003","Albemarle","38.0765700009162","-78.50397"
"01/16/2009","AQS","510030001","1","5.7","ug/m3 LC","24","Albemarle High School","1","100.0000","88101","PM2.5 - Local Conditions","16820","Charlottesville, VA","51","Virginia","003","Albemarle","38.0765700009162","-78.50397"
"01/19/2009","AQS","510030001","1","17.5","ug/m3 LC","62","Albemarle High School","1","100.0000","88101","PM2.5 - Local Conditions","16820","Charlottesville, VA","51","Virginia","003","Albemarle","38.0765700009162","-78.50397"
"01/22/2009","AQS","510030001","1","8.6","ug/m3 LC","36","Albemarle High School","1","100.0000","88101","PM2.5 - Local Conditions","16820","Charlottesville, VA","51","Virginia","003","Albemarle","38.0765700009162","-78.50397"
"01/25/2009","AQS","510030001","1","9.2","ug/m3 LC","38","Albemarle High School","1","100.0000","88101","PM2.5 - Local Conditions","16820","Charlottesville, VA","51","Virginia","003","Albemarle","38.0765700009162","-78.50397"
"01/28/2009","AQS","510030001","1","6.8","ug/m3 LC","28","Albemarle High School","1","100.0000","88101","PM2.5 - Local Conditions","16820","Charlottesville, VA","51","Virginia","003","Albemarle","38.0765700009162","-78.50397"
