DATE,VAALBE7POP
1970-01-01,37.780
1971-01-01,38.200
1972-01-01,41.400
1973-01-01,42.300
1974-01-01,44.000
1975-01-01,47.000
1976-01-01,47.700
1977-01-01,48.600
1978-01-01,49.200
1979-01-01,50.400
1980-01-01,55.783
1981-01-01,57.278
1982-01-01,57.803
1983-01-01,58.443
1984-01-01,59.249
1985-01-01,61.229
1986-01-01,61.423
1987-01-01,63.004
1988-01-01,64.918
1989-01-01,66.538
1990-01-01,68.373
1991-01-01,69.076
1992-01-01,69.654
1993-01-01,70.824
1994-01-01,71.863
1995-01-01,74.817
1996-01-01,75.808
1997-01-01,76.277
1998-01-01,77.866
1999-01-01,78.631
2000-01-01,83.460
2001-01-01,84.507
2002-01-01,85.242
2003-01-01,86.245
2004-01-01,87.614
2005-01-01,89.283
2006-01-01,90.944
2007-01-01,91.684
2008-01-01,93.234
2009-01-01,93.751
2010-01-01,99.196
2011-01-01,100.231
2012-01-01,101.504
2013-01-01,102.329
2014-01-01,103.811
2015-01-01,105.221
2016-01-01,106.662
2017-01-01,108.107
2018-01-01,108.832
2019-01-01,109.843
2020-01-01,112.502
2021-01-01,113.742
2022-01-01,114.534
