DATE,VAARLI0POP
1970-01-01,174.284
1971-01-01,174.500
1972-01-01,173.000
1973-01-01,164.400
1974-01-01,156.900
1975-01-01,156.900
1976-01-01,158.900
1977-01-01,156.600
1978-01-01,154.600
1979-01-01,154.100
1980-01-01,152.599
1981-01-01,156.123
1982-01-01,157.834
1983-01-01,160.483
1984-01-01,163.163
1985-01-01,165.356
1986-01-01,167.502
1987-01-01,168.060
1988-01-01,169.903
1989-01-01,170.391
1990-01-01,171.164
1991-01-01,172.773
1992-01-01,175.365
1993-01-01,177.845
1994-01-01,180.563
1995-01-01,181.741
1996-01-01,182.801
1997-01-01,184.768
1998-01-01,186.693
1999-01-01,188.716
2000-01-01,189.359
2001-01-01,193.275
2002-01-01,195.356
2003-01-01,196.223
2004-01-01,197.955
2005-01-01,199.761
2006-01-01,200.732
2007-01-01,203.911
2008-01-01,210.130
2009-01-01,217.163
2010-01-01,209.319
2011-01-01,216.078
2012-01-01,221.614
2013-01-01,225.12
2014-01-01,226.274
2015-01-01,228.887
2016-01-01,231.805
2017-01-01,235.193
2018-01-01,236.662
2019-01-01,238.392
2020-01-01,238.799
2021-01-01,233.574
2022-01-01,234.0
